id,value,feed_id,created_at,lat,lon,ele
0EPJR2VDBM31SK6F238443829F,1001.27,1589961,2021-03-28 08:47:48 UTC,,,
0EPJR2ZDFES6W7KXVW532Y8ZX1,1001.24,1589961,2021-03-28 08:48:01 UTC,,,
0EPJR33EC9FGEXTCBD708H2P0T,1001.22,1589961,2021-03-28 08:48:15 UTC,,,
0EPJR37DF5319XSVEM7B2WJ2N7,1001.24,1589961,2021-03-28 08:48:28 UTC,,,
0EPJR3BEF1J49KQ2TY0K5VYCDF,1001.24,1589961,2021-03-28 08:48:41 UTC,,,
0EPJR3FFCPTR3H0ZQPMB7TCBCZ,1001.25,1589961,2021-03-28 08:48:54 UTC,,,
0EPJR3KFE6PMCT0VKHQA7DX1XB,1001.23,1589961,2021-03-28 08:49:07 UTC,,,
0EPJR3QHB09EX2M6QHK28NVARJ,1001.19,1589961,2021-03-28 08:49:20 UTC,,,
0EPJR3VGCFE60ESHDD3EP1EME7,1001.19,1589961,2021-03-28 08:49:33 UTC,,,
0EPJR3ZFDWW18HW69CS37HTPSG,1001.19,1589961,2021-03-28 08:49:46 UTC,,,
0EPJR43EBJNK1A052M895AATEY,1001.22,1589961,2021-03-28 08:49:59 UTC,,,
0EPJR47DD62QKZBBBD285TVKXK,1001.2,1589961,2021-03-28 08:50:12 UTC,,,
0EPJR4BDCDTXJYNXVFYS68GNPW,1001.19,1589961,2021-03-28 08:50:26 UTC,,,
0EPJR4FCBBE3YA08DYSZXBWNC7,1001.24,1589961,2021-03-28 08:50:39 UTC,,,
0EPJR4KCGKW95W868ECR6FNX6Y,1001.23,1589961,2021-03-28 08:50:52 UTC,,,
0EPJR4QEE148NRNP4ZADY6D8WR,1001.23,1589961,2021-03-28 08:51:05 UTC,,,
0EPJR4VDCKNF70NBKX6EMNHS8Y,1001.26,1589961,2021-03-28 08:51:18 UTC,,,
0EPJR4ZDGTYDDXZ29ZQZ4SRBD0,1001.23,1589961,2021-03-28 08:51:31 UTC,,,
0EPJR53CE6FAZTA1FV47G1X7B8,1001.24,1589961,2021-03-28 08:51:44 UTC,,,
0EPJRFGQPBP1Y9CRBDV74R0WTC,1001.07,1589961,2021-03-28 09:09:56 UTC,,,
0EPJRFQXNKR9CJYC7K02SFY28S,1001.05,1589961,2021-03-28 09:10:20 UTC,,,
0EPJRFZ2PBGCXR6X7MCTNP9MVK,1001.07,1589961,2021-03-28 09:10:43 UTC,,,
0EPJRG66NKMPBR3FMK3D1E2AEG,1001.07,1589961,2021-03-28 09:11:07 UTC,,,
0EPJRGT3KTPXDA8XTXYGWYG3C7,1001.11,1589961,2021-03-28 09:12:12 UTC,,,
0EPJRH18HAY7C7K36E63K28342,1001.08,1589961,2021-03-28 09:12:35 UTC,,,
0EPJRHDJPF3YBTBBEDH9VDSXTN,1001.11,1589961,2021-03-28 09:13:16 UTC,,,
0EPJRHMPQ6GKMME7Y4885V21WT,1001.14,1589961,2021-03-28 09:13:39 UTC,,,
0EPJRHVVTZCCN8THFKJ9QS89R7,1001.13,1589961,2021-03-28 09:14:03 UTC,,,
0EPJRJ2ZMN02GX8PJB6ZK5SBFV,1001.09,1589961,2021-03-28 09:14:26 UTC,,,
0EPJRJA3P4408CSA0DAA7JVA9N,1001.11,1589961,2021-03-28 09:14:49 UTC,,,
0EPJRJH8PQ0M677QC5FEP1924J,1001.17,1589961,2021-03-28 09:15:13 UTC,,,
0EPJRJRDP3WAZK7EHE4W10JE65,1001.11,1589961,2021-03-28 09:15:36 UTC,,,
0EPJRJZHN9SWRQEPYGRNS8WMF3,1001.14,1589961,2021-03-28 09:16:00 UTC,,,
0EPJRK6QPSY6JFKQCV9S5ZZHN4,1001.11,1589961,2021-03-28 09:16:23 UTC,,,
0EPJRKDWN3DQGFGMTYS8HC7CNZ,1001.1,1589961,2021-03-28 09:16:47 UTC,,,
0EPJRKN0QB9NS6T7WYASSJ66E8,1001.1,1589961,2021-03-28 09:17:10 UTC,,,
0EPJRKW4MPHTS49R2CVBTKA3WJ,1001.12,1589961,2021-03-28 09:17:33 UTC,,,
0EPJRM38Q3136202GH0TPQNSA2,1001.08,1589961,2021-03-28 09:17:57 UTC,,,
0EPJRMACQ0BRDZXMDVVH0ZK8ZA,1001.06,1589961,2021-03-28 09:18:20 UTC,,,
